name	logFC	ave_exp	P.Value_reg1__vs__NT	minus_log_pval	TFDatabase
DDX28	2.406914217	22.78660883	7.86e-5	4.104577453960592	absent
POU3F2	2.312049021	23.82995312	0.006996413	2.155124561925353	exist
C8orf33	2.169286126	24.32240094	0.010332622	1.9857894581862017	absent
TFRC	2.12055487	22.60198738	0.005488251	2.2605660347972534	absent
SETDB1	2.064186904	23.55243189	0.009254444	2.0336496682114977	exist
PINX1	1.860193273	24.33490868	0.002295767	2.6390721910776724	absent
DHX35	1.829753579	25.1250811	0.03579488	1.4461790891876247	absent
CSE1L	1.785720648	27.12261677	0.115004354	0.9392857171909169	absent
RER1	1.586093649	24.19392935	0.099874785	1.0005441425807218	absent
TXLNA	1.583636491	26.26331	0.034478163	1.462455881484688	absent
SPTY2D1	1.572990295	26.14845081	0.002412358	2.617558241354718	absent
PHF5A	1.557358817	25.95048845	0.011507358	1.9390243755647227	absent
ZC3H15	1.537084077	25.33689617	0.00285873	2.5438268607481236	absent
IMMT	1.523368947	22.31727818	0.028508947	1.545018823396781	absent
HECTD4	1.486322275	20.83638439	0.084731717	1.0719539929785753	absent
CD3EAP	1.482464391	23.65606063	0.017521558	1.7564272794054248	absent
EMG1	1.471001458	24.95622161	0.040120779	1.3966306431462119	absent
LUZP1	1.468544079	24.5406123	0.017339329	1.7609677129287722	absent
TOX4	1.458117529	23.2922447	0.006127208	2.2127373764464124	absent
CBX3	1.453579997	25.64100054	0.004186414	2.378157825919695	absent
NEDD8	1.450074867	23.32954322	0.003859471	2.4134722180031245	absent
BBX	1.415274132	27.03373926	0.004489365	2.3478150836066507	exist
BCKDK	1.382845671	21.87812551	0.136777948	0.8639839160216297	absent
ADARB1	1.35928546	22.91152424	0.037817442	1.422307850500386	absent
TTI1	1.334629268	21.36458322	0.010080849	1.996502890461105	absent
BUD31	1.329635773	23.6278284	0.035869688	1.4452724008670401	absent
NTPCR	1.288896468	24.37321751	0.007904266	2.1021384529866802	absent
MED19	1.277811575	22.83236843	0.044703079	1.349662563072582	absent
MBD4	1.277447779	22.43870284	0.028426474	1.5462770065533618	exist
CDKN2AIP	1.273302828	24.31103728	0.02618451	1.5819555487927517	absent
SEC61A1	1.262682822	24.05841576	0.063225815	1.199105563759414	absent
TXLNG	1.253828606	23.08642884	0.089051879	1.050356912464385	absent
TRIP13	1.240758802	20.76055702	0.074752749	1.1263728317182036	absent
GTPBP10	1.226046968	21.39126063	0.002032223	2.69202863774854	absent
CD2BP2	1.224856865	21.91766766	0.10483042	0.9795126742118717	absent
TUBG1	1.216663917	25.62429056	0.001737257	2.760135929724638	absent
WAPAL	1.20609433	22.87992788	0.107754213	0.967565740685717	absent
ARL6IP6	1.19180622	24.26447796	0.184824005	0.7332416231484223	absent
EIF2B4	1.176061306	23.72373283	0.042260563	1.374064721524959	absent
KIF22	1.168769026	31.87624167	0.012109277	1.9168817861950125	absent
SRPR	1.138488914	24.98364824	0.007580112	2.1203243773992626	absent
JARID2	1.12439958	22.77871724	0.028997884	1.537633691778692	absent
HP1BP3	1.113951744	28.97664617	0.051166298	1.291016004101424	absent
CDC6	1.105104524	24.61546468	0.002096224	2.6785623110174885	absent
PAX6	1.101160446	25.02655023	0.045937924	1.3378286350817048	exist
EEF1G	1.09790872	28.68022208	9.68e-5	4.014124642691606	absent
EPC2	1.096376148	23.20241364	0.018738013	1.727276464082587	absent
CDC16	1.09611364	24.20060871	0.050983803	1.292567772626775	absent
REPIN1	1.089763478	25.26139937	0.001469914	2.8327080736994548	exist
VARS	1.070050599	24.24791988	0.024530075	1.6103011239486755	absent
ZMYND8	1.065707137	23.43818373	0.118079561	0.9278252701520632	absent
ARHGAP11A	1.06020583	24.34641174	0.018464214	1.7336691750277993	absent
ERCC2	1.057135584	24.90888998	0.037315645	1.42810904720934	absent
CENPV	1.048296963	25.95732015	0.030917384	1.509797259981012	absent
NAA40	1.042510951	26.57644735	4.73047e-4	3.3250957074089165	absent
CENPC	1.036995582	24.94278027	0.005970892	2.2239607841570637	absent
PEO1	1.026813631	22.85420979	0.046227783	1.3350969340322583	absent
DNAJC13	1.020990034	22.85481472	0.037990021	1.4203304663773249	absent
DICER1	1.003576988	21.16073315	0.159843502	0.7963050140867186	absent
